id,category,prompt,answer_numeric,unit,difficulty,reveal_text,source_label,source_url,reference_date,status,editorial_notes
ES-005,esportes,"Quantos metros tem uma volta completa em uma pista padrão de atletismo ao ar livre?",400,"m",easy,"400 metros. A prova dos 400 m corresponde a uma volta completa na pista padrão ao ar livre.",World Athletics,https://worldathletics.org/disciplines/track-running/400-metres,,candidate,"Boa pergunta visual e direta."
CT-001,cinema_tv,"Aproximadamente quantos minutos dura Toy Story na versão de cinema classificada pelo BBFC?",81,"min",easy,"Cerca de 81 minutos. É um daqueles filmes que parecem maiores na memória do que no relógio.",BBFC,https://www.bbfc.co.uk/release/toy-story-q29sbgvjdglvbjpwwc0zndq0mjc,,candidate,"Usar versão de cinema indicada pela fonte."
CT-002,cinema_tv,"Aproximadamente quantos minutos dura Oppenheimer na versão de cinema de 2023 classificada pelo BBFC?",180,"min",medium,"Cerca de 180 minutos — três horas de filme.",BBFC,https://www.bbfc.co.uk/release/oppenheimer-q29sbgvjdglvbjpwwc0xmda2mjm0,2023-07-07,candidate,"Fonte tem versões com pequenas diferenças; prompt fixa cinema 2D de 2023 e arredonda."
CT-003,cinema_tv,"Aproximadamente quantos minutos dura Avengers: Endgame na versão de cinema classificada pelo BBFC?",181,"min",medium,"Cerca de 181 minutos — praticamente três horas.",BBFC,https://www.bbfc.co.uk/release/avengers-endgame-q29sbgvjdglvbjpwwc00mde4oda,2019-04-12,candidate,"BBFC lista 180m57s no cinema; resposta arredondada a 181."
CT-004,cinema_tv,"Aproximadamente quantos minutos dura Titanic na versão de cinema de 1997 classificada pelo BBFC?",195,"min",medium,"Cerca de 195 minutos, pouco mais de três horas.",BBFC,https://www.bbfc.co.uk/release/titanic-q29sbgvjdglvbjpwwc0zmdu3oty,1997-11-14,candidate,"Fonte lista 194m36s para cinema de 1997; resposta arredondada."
CT-005,cinema_tv,"Aproximadamente quantos minutos dura Barbie na versão de cinema de 2023 classificada pelo BBFC?",114,"min",easy,"Cerca de 114 minutos, ou 1h54.",BBFC,https://www.bbfc.co.uk/release/barbie-q29sbgvjdglvbjpwwc0xmda5otq3,2023-07-02,candidate,"Fonte lista 113m54s; resposta arredondada."
MS-001,musica,"Quantas teclas tem um piano de tamanho padrão como os modelos digitais ARIUS da Yamaha?",88,"teclas",easy,"88 teclas é o tamanho padrão de um piano completo moderno.",Yamaha Brasil,https://br.yamaha.com/pt/musical-instruments/pianos/products/arius/ydp-105/index.html,,candidate,"Boa pergunta popular."
MS-002,musica,"Quantas cordas tem a maioria das guitarras modernas em configuração padrão?",6,"cordas",easy,"Seis cordas. Na afinação padrão, elas correspondem a E, A, D, G, B e E.",Fender,https://www.fender.com/articles/techniques/never-forget-string-names-again,,candidate,"Pergunta simples de aquecimento."
MS-003,musica,"Quantas cordas tem um violino tradicional?",4,"cordas",easy,"Quatro cordas, afinadas em G, D, A e E do grave para o agudo.",Yamaha Musical Instrument Guide,https://www.yamaha.com/en/musical_instrument_guide/violin/mechanism/mechanism002.html,,candidate,"Estável e clara."
MS-004,musica,"Quantas cordas se tornaram padrão nos violoncelos a partir do século XVIII?",4,"cordas",medium,"Quatro cordas se tornaram o padrão moderno do violoncelo.",Yamaha Musical Instrument Guide,https://www.yamaha.com/en/musical_instrument_guide/violin/structure/structure005.html,,candidate,"Histórico deixa a pergunta menos óbvia que a do violino."
MS-005,musica,"Por volta de que ano foi construído o violino mais antigo ainda existente citado pelo guia histórico da Yamaha?",1565,"ano",hard,"Por volta de 1565, construído por Andrea Amati.",Yamaha Musical Instrument Guide,https://www.yamaha.com/en/musical_instrument_guide/violin/structure/,,candidate,"Perguntas de ano funcionam, mas não abusar delas em uma mesma partida."
CO-001,comida,"Qual é o valor de calorias usado pela FDA como referência geral diária nos rótulos nutricionais?",2000,"kcal",easy,"2.000 kcal por dia é o valor de referência geral usado no rótulo; necessidades individuais podem ser maiores ou menores.",FDA,https://www.fda.gov/food/nutrition-facts-label/whats-nutrition-facts-label,2026-08-09,candidate,"Enunciado fala referência de rótulo, não recomendação individual."
CO-002,comida,"Qual é o valor diário de referência de sódio usado pela FDA nos rótulos nutricionais?",2300,"mg",medium,"2.300 mg por dia é o Daily Value de sódio usado na referência da FDA.",FDA,https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label,2026-08-09,candidate,"Pode mudar no futuro; manter data de referência."
CO-003,comida,"Qual é o valor diário de referência de açúcares adicionados usado pela FDA para uma dieta de 2.000 kcal?",50,"g",medium,"50 g de açúcares adicionados correspondem ao valor diário de referência nesse padrão de 2.000 kcal.",FDA,https://www.fda.gov/food/nutrition-facts-label/added-sugars-nutrition-facts-label,2026-08-09,candidate,"Revisar diversão; dado é útil mas pode soar educativo demais."
CO-004,comida,"Qual era a área da maior pizza registrada pelo Guinness em Los Angeles em janeiro de 2023?",1296.72,"m²",hard,"1.296,72 m² — uma pizza com área maior que muitos terrenos urbanos.",Guinness World Records,https://www.guinnessworldrecords.com/world-records/largest-pizza,2023-01-19,candidate,"Recordes podem mudar; data fica no prompt."
CO-005,comida,"Quantos metros media a pizza reconhecida pelo Guinness como a mais longa no recorde de junho de 2017?",1930.39,"m",hard,"1.930,39 metros — quase dois quilômetros de pizza.",Guinness World Records,https://www.guinnessworldrecords.com/world-records/longest-pizza,2017-06-10,candidate,"Data explícita para congelar o recorde."
CA-001,curiosidades_absurdas,"Quantos rebites foram usados na Torre Eiffel, segundo o site oficial?",2500000,"rebites",hard,"Cerca de 2,5 milhões de rebites seguram a estrutura da Torre Eiffel.",Torre Eiffel — site oficial,https://www.toureiffel.paris/pt/o-monumento/numeros-chave,,candidate,"Não usar na mesma partida que outras perguntas da Torre."
CA-002,curiosidades_absurdas,"Quantos fios formam cada um dos cabos principais da Golden Gate Bridge?",27572,"fios",hard,"Cada cabo principal é composto por 27.572 fios.",Golden Gate Bridge Highway and Transportation District,https://www.goldengate.org/exhibits/facts-and-figures-about-the-bridge/,,candidate,"Reveal pode dizer que os fios estendidos dariam mais de três voltas na Terra, segundo a fonte."
CA-003,curiosidades_absurdas,"Aproximadamente quantas válvulas a vácuo o ENIAC usava?",18000,"válvulas",hard,"Cerca de 18 mil válvulas a vácuo. E ele ainda pesava aproximadamente 30 toneladas.",Computer History Museum,https://www.computerhistory.org/tdih/february/14/,,candidate,"Não combinar com TE-005 na mesma partida."
CA-004,curiosidades_absurdas,"Aproximadamente quantas fatias de pepperoni foram usadas na pizza gigante do recorde Guinness de janeiro de 2023?",630496,"fatias",hard,"Cerca de 630.496 fatias de pepperoni foram usadas na pizza recordista.",Guinness World Records,https://www.guinnessworldrecords.com/world-records/largest-pizza,2023-01-19,candidate,"Número absurdo e ótimo para reveal; data explícita."
CA-005,curiosidades_absurdas,"Aproximadamente quantos quilos de massa foram usados nessa pizza gigante recordista de 2023?",6193,"kg",hard,"Foram cerca de 6.193 kg de massa — mais de seis toneladas só de massa.",Guinness World Records,https://www.guinnessworldrecords.com/world-records/largest-pizza,2023-01-19,candidate,"Não usar na mesma partida que CO-004 ou CA-004."
